Tarih,Toplam Vaka,Günlük Vaka,Toplam_Hasta,Gunluk_Hasta,Toplam_Vefat,Gunluk_Vefat,Toplam_iyilesen,Gunluk_iyilesen,Toplam_Test,Gunluk_Test,YBU,Entube,Ağır Hasta,yatak_doluluk_orani,eriskin_yogun_bakim_doluluk_orani,ventilator_doluluk_orani
11.03.2020,1,0,1,1,0,0,0,0,940,940,0,0,0,0,0,
12.03.2020,1,0,1,0,0,0,0,0,2.470,1.530,0,0,0,0,0,
13.03.2020,5,0,2,1,0,0,0,0,4.000,1.530,0,0,0,0,0,
14.03.2020,6,0,5,3,0,0,0,0,5.000,1.000,0,0,0,0,0,
15.03.2020,18,0,18,13,0,0,0,0,6.000,1.000,0,0,0,0,0,
16.03.2020,47,0,47,29,0,0,0,0,7.000,1.000,0,0,0,0,0,
17.03.2020,98,0,98,51,1,1,0,0,8.002,1.002,0,0,0,0,0,
18.03.2020,191,0,191,93,2,1,0,0,10.000,1.998,0,0,0,0,0,
19.03.2020,359,0,359,168,4,2,0,0,11.981,1.981,0,0,0,0,0,
20.03.2020,670,0,670,311,9,5,0,0,15.637,3.656,0,0,0,0,0,
21.03.2020,947,0,947,277,21,12,0,0,18.590,2.953,0,0,0,0,0,
22.03.2020,1.236,0,1.236,289,30,9,0,0,20.345,1.755,0,0,0,0,0,
23.03.2020,1.529,0,1.529,293,37,7,0,0,24.017,3.672,0,0,0,0,0,
24.03.2020,1.872,0,1.872,343,44,7,0,0,27.969,3.952,0,0,0,0,0,
25.03.2020,2.433,0,2.433,561,59,15,0,0,33.004,5.035,0,0,0,0,0,
26.03.2020,3.629,0,3.629,1.196,75,16,0,0,40.290,7.286,0,0,0,0,0,
27.03.2020,5.698,0,5.698,2.069,92,17,42,42,47.823,7.533,344,241,0,0,0,
28.03.2020,7.402,0,7.402,1.704,108,16,70,28,55.464,7.641,445,309,0,0,0,
29.03.2020,9.217,0,9.217,1.815,131,23,105,35,65.446,9.982,568,394,0,0,0,
30.03.2020,10.827,0,10.827,1.610,168,37,162,57,76.981,11.535,725,523,0,0,0,
31.03.2020,13.531,0,13.531,2.704,214,46,243,81,92.403,15.422,847,622,0,0,0,
01.04.2020,15.679,0,15.679,2.148,277,63,333,90,106.799,14.396,979,692,0,0,0,
02.04.2020,18.135,0,18.135,2.456,356,79,415,82,125.556,18.757,1.101,783,0,0,0,
03.04.2020,20.921,0,20.921,2.786,425,69,484,69,141.716,16.160,1.251,867,0,0,0,
04.04.2020,23.934,0,23.934,3.013,501,76,786,302,161.380,19.664,1.311,909,0,0,0,
05.04.2020,27.069,0,27.069,3.135,574,73,1.042,256,181.445,20.065,1.381,935,0,0,0,
06.04.2020,30.217,0,30.217,3.148,649,75,1.326,284,202.845,21.400,1.415,966,0,0,0,
07.04.2020,34.109,0,34.109,3.892,725,76,1.582,256,222.868,20.023,1.474,987,0,0,0,
08.04.2020,38.226,0,38.226,4.117,812,87,1.846,264,247.768,24.900,1.492,995,0,0,0,
09.04.2020,42.282,0,42.282,4.056,908,96,2.142,296,276.346,28.578,1.552,1.017,0,0,0,
10.04.2020,47.029,0,47.029,4.747,1.006,98,2.423,281,307.210,30.864,1.667,1.062,0,0,0,
11.04.2020,52.167,0,52.167,5.138,1.101,95,2.965,542,340.380,33.170,1.626,1.021,0,0,0,
12.04.2020,56.956,0,56.956,4.789,1.198,97,3.446,481,376.100,35.720,1.665,978,0,0,0,
13.04.2020,61.049,0,61.049,4.093,1.296,98,3.957,511,410.556,34.456,1.786,1.063,0,0,0,
14.04.2020,65.111,0,65.111,4.062,1.403,107,4.799,842,443.626,33.070,1.809,1.087,0,0,0,
15.04.2020,69.392,0,69.392,4.281,1.518,115,5.674,875,477.716,34.090,1.820,1.052,0,0,0,
16.04.2020,74.193,0,74.193,4.801,1.643,125,7.089,1.415,518.143,40.427,1.854,1.040,0,0,0,
17.04.2020,78.546,0,78.546,4.353,1.769,126,8.631,1.542,558.413,40.270,1.845,1.014,0,0,0,
18.04.2020,82.329,0,82.329,3.783,1.890,121,10.453,1.822,598.933,40.520,1.894,1.054,0,0,0,
19.04.2020,86.306,0,86.306,3.977,2.017,127,11.976,1.523,634.277,35.344,1.922,1.031,0,0,0,
20.04.2020,90.980,0,90.980,4.674,2.140,123,13.430,1.454,673.980,39.703,1.909,1.033,0,0,0,
21.04.2020,95.591,0,95.591,4.611,2.259,119,14.918,1.488,713.409,39.429,1.865,1.006,0,0,0,
22.04.2020,98.674,0,98.674,3.083,2.376,117,16.477,1.559,750.944,37.535,1.814,985,0,0,0,
23.04.2020,101.790,0,101.790,3.116,2.491,115,18.491,2.014,791.906,40.962,1.816,982,0,0,0,
24.04.2020,104.912,0,104.912,3.122,2.600,109,21.737,3.246,830.257,38.351,1.790,929,0,0,0,
25.04.2020,107.773,0,107.773,2.861,2.706,106,25.582,3.845,868.565,38.308,1.782,900,0,0,0,
26.04.2020,110.130,0,110.130,2.357,2.805,99,29.140,3.558,898.742,30.177,1.776,883,0,0,0,
27.04.2020,112.261,0,112.261,2.131,2.900,95,33.791,4.651,918.885,20.143,1.736,882,0,0,0,
28.04.2020,114.653,0,114.653,2.392,2.992,92,38.809,5.018,948.115,29.230,1.621,845,0,0,0,
29.04.2020,117.589,0,117.589,2.936,3.081,89,44.040,5.231,991.613,43.498,1.574,831,0,0,0,
30.04.2020,120.204,0,120.204,2.615,3.174,93,48.886,4.846,1.033.617,42.004,1.514,803,0,0,0,
01.05.2020,122.392,0,122.392,2.188,3.258,84,53.808,4.922,1.075.048,41.431,1.480,818,0,0,0,
02.05.2020,124.375,0,124.375,1.983,3.336,78,58.259,4.451,1.111.366,36.318,1.445,778,0,0,0,
03.05.2020,126.045,0,126.045,1.670,3.397,61,63.151,4.892,1.135.367,24.001,1.424,766,0,0,0,
04.05.2020,127.659,0,127.659,1.614,3.461,64,68.166,5.015,1.171.138,35.771,1.384,727,0,0,0,
05.05.2020,129.491,0,129.491,1.832,3.520,59,73.285,5.119,1.204.421,33.283,1.338,707,0,0,0,
06.05.2020,131.744,0,131.744,2.253,3.584,64,78.202,4.917,1.234.724,30.303,1.278,669,0,0,0,
07.05.2020,133.721,0,133.721,1.977,3.641,57,82.984,4.782,1.265.119,30.395,1.260,665,0,0,0,
