                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5402,                 2.8058,                 3.6857,                 4.3071,                 3.2238,                 3.6641,                0.34946,                0.41189,                0.30835,                0.09652,                 2.7785,                  1.362,                 2.5787,                 2.9146,                  2.161,                 2.5528,             0.00066162,             0.00066162,             0.00066162
                      2,                 2.6656,                  1.396,                 2.4007,                 2.5318,                 1.8727,                 2.2123,                0.45444,                0.51772,                0.47921,                0.19398,                 2.2881,                 1.3028,                 2.1477,                 2.1338,                 1.7993,                 2.0932,              0.0013151,              0.0013151,              0.0013151
                      3,                 2.3296,                 1.2604,                 2.0292,                 2.2522,                 1.7107,                  1.857,                0.51096,                0.57476,                0.51753,                0.21865,                 2.0682,                 1.2718,                 1.8497,                 1.9282,                 1.8352,                 1.7585,              0.0019554,              0.0019554,              0.0019554
                      4,                 2.1845,                 1.1685,                 1.8432,                  2.148,                 1.6092,                 1.6945,                0.59003,                0.57813,                0.60364,                0.27436,                 1.9128,                 1.1717,                 1.7565,                 1.8143,                 1.7702,                 1.6308,              0.0019406,              0.0019406,              0.0019406
                      5,                  2.081,                 1.1414,                  1.774,                 2.0572,                 1.5718,                 1.6503,                0.70004,                0.67427,                0.72599,                0.36829,                 1.8678,                 1.0601,                 1.6854,                 1.8011,                 1.4122,                 1.6021,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.9904,                 1.0736,                  1.675,                 2.0028,                 1.4582,                 1.5742,                0.67323,                0.66408,                0.69728,                0.32971,                 1.7846,                 1.1011,                 1.6358,                 1.7049,                 1.5852,                 1.5376,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.9545,                 1.0618,                 1.6418,                 1.9927,                 1.4426,                 1.5524,                 0.7393,                0.67315,                0.74831,                0.36452,                  1.777,                 1.0296,                 1.6113,                 1.7333,                 1.3837,                 1.5435,               0.001901,               0.001901,               0.001901
                      8,                 1.9278,                 1.0064,                 1.5929,                 1.9728,                 1.3545,                 1.5147,                 0.7869,                0.72149,                0.79934,                0.42327,                 1.7082,                 1.0143,                  1.574,                 1.6861,                 1.2726,                 1.5132,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.8881,                0.99357,                 1.5867,                 1.9286,                  1.326,                 1.5273,                0.78355,                0.71875,                 0.7991,                0.42076,                 1.7324,                0.93622,                 1.5826,                 1.7293,                 1.2495,                 1.5473,              0.0018614,              0.0018614,              0.0018614
                     10,                  1.879,                0.98603,                 1.5571,                 1.9373,                 1.3239,                 1.4982,                0.82374,                0.73617,                0.82723,                0.43842,                 1.7147,                0.90766,                  1.561,                 1.6984,                 1.1679,                 1.5169,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.8597,                0.94754,                 1.5269,                 1.9155,                 1.2405,                 1.4735,                0.82225,                0.76262,                0.84057,                0.44359,                 1.6925,                0.94704,                 1.5318,                 1.6869,                 1.1943,                 1.5053,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.8134,                0.93131,                 1.5084,                 1.8804,                 1.2145,                 1.4612,                0.82733,                0.74664,                0.83199,                0.45174,                 1.7063,                0.88922,                 1.5474,                 1.6825,                 1.0958,                 1.5053,               0.001802,               0.001802,               0.001802
                     13,                 1.8169,                0.90995,                 1.4934,                 1.8867,                 1.1829,                 1.4447,                0.80321,                 0.7737,                0.84292,                0.45057,                 1.6774,                0.87907,                  1.519,                  1.661,                 1.1592,                  1.486,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.8012,                  0.916,                 1.5149,                 1.8662,                 1.1751,                 1.4775,                0.84359,                  0.775,                0.85899,                0.46792,                   1.65,                0.85813,                 1.5021,                 1.6519,                 1.0773,                 1.4866,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.7626,                0.89125,                 1.4754,                 1.8374,                 1.1512,                 1.4417,                0.82543,                0.77985,                0.85876,                0.45988,                 1.6636,                0.88556,                 1.4986,                 1.6544,                 1.0949,                 1.4706,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.7671,                0.89122,                 1.4944,                 1.8457,                 1.1336,                 1.4604,                0.84671,                0.77718,                0.86202,                0.45722,                 1.6557,                0.81073,                 1.5082,                 1.6886,                0.99723,                 1.5077,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.7609,                0.86383,                 1.4631,                 1.8436,                 1.1043,                 1.4306,                0.85036,                 0.7949,                0.87959,                0.45793,                 1.6628,                0.81186,                 1.5015,                 1.7059,                0.95123,                 1.5117,               0.001703,               0.001703,               0.001703
                     18,                 1.7567,                0.87281,                 1.4772,                 1.8283,                 1.0946,                 1.4467,                0.85433,                0.79369,                0.87466,                0.47258,                  1.649,                0.80556,                 1.4926,                 1.6726,                0.94538,                 1.4852,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.7452,                0.86832,                 1.4562,                 1.8332,                 1.0939,                 1.4225,                0.86171,                0.81519,                0.89512,                0.49119,                 1.6239,                0.79206,                 1.4764,                 1.6355,                0.92104,                 1.4647,              0.0016634,              0.0016634,              0.0016634
                     20,                  1.741,                0.85105,                 1.4614,                 1.8195,                 1.0679,                 1.4261,                0.85908,                0.82282,                0.89509,                0.48748,                 1.6089,                0.78752,                 1.4621,                 1.6031,                 0.9131,                 1.4451,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.7131,                0.83288,                 1.4451,                 1.8018,                 1.0449,                 1.4187,                0.87035,                0.80607,                0.88816,                0.48025,                 1.6218,                0.77062,                 1.4724,                 1.6399,                0.91007,                 1.4674,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.7131,                 0.8336,                 1.4417,                  1.801,                 1.0379,                 1.4194,                0.86893,                0.81602,                0.89227,                0.48419,                 1.6378,                0.77579,                 1.4828,                 1.6685,                0.86772,                 1.4877,               0.001604,               0.001604,               0.001604
                     23,                 1.7297,                0.83575,                 1.4413,                 1.8327,                 1.0453,                 1.4133,                0.87008,                0.80267,                0.88924,                0.45579,                 1.6894,                0.78246,                  1.508,                 1.7107,                0.93572,                 1.5071,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.7121,                0.83465,                 1.4429,                 1.7957,                 1.0311,                 1.4146,                0.88022,                0.80798,                0.90089,                0.49412,                 1.6056,                0.73321,                 1.4685,                 1.6069,                0.82307,                 1.4539,              0.0015644,              0.0015644,              0.0015644
